iter	RMSE
273	211695.2984
274	211447.1437
275	210828.557
276	210222.6233
277	209421.4623
278	209186.7137
279	208400.1942
280	207626.342
281	207391.6331
282	207164.6396
283	206402.9299
284	206054.8175
285	205713.1556
286	205489.3553
287	204916.5271
288	204700.8534
289	203944.4367
290	203385.2217
291	202640.2068
292	202431.7289
293	201700.1003
294	201495.083
295	201167.4636
296	200629.3108
297	200431.343
298	200237.525
299	199921.7957
300	199195.8465
301	198885.2327
302	198580.7803
303	197865.9209
304	197359.8693
305	196656.8792
306	196362.469
307	195670.0519
308	195479.9423
309	195294.0473
310	195111.6902
311	194429.3161
312	194250.0733
313	194074.3889
314	193902.3685
315	193609.5933
316	192936.9608
317	192767.2686
318	192479.0776
319	191816.6794
320	191166.4262
321	190528.6952
322	189901.7395
323	189733.0227
324	189116.475
325	188510.6325
326	188344.0918
327	188055.3149
328	187891.9565
329	187608.6896
330	187331.2234
331	187059.182
332	186792.5187
333	186631.9319
334	186370.7629
335	185770.0326
336	185180.4744
337	184922.49
338	184669.7818
339	184422.0231
340	184178.9164
341	183597.4118
342	183437.4636
343	183280.7937
344	183127.3375
345	182553.9858
346	182434.5997
347	182286.2849
348	181723.4648
349	181171.1255
350	180628.8091
351	180386.0724
352	180239.2379
353	180001.2701
354	179857.2589
355	179322.6
356	179088.643
357	178859.2397
358	178333.0615
359	178107.4997
360	177965.0297
361	177825.4894
362	177688.8208
363	177467.5515
364	176948.5217
365	176814.0932
366	176682.4344
367	176171.2189
368	175670.4315
369	175540.7148
370	175047.9737
371	174828.0714
372	174700.4591
373	174484.8369
374	174273.2657
375	174066.2535
376	173863.243
377	173664.3407
378	173538.6123
379	173343.8142
380	173220.5367
381	172731.5729
382	172252.6684
383	172131.2419
384	171660.232
385	171197.7455
386	171004.2043
387	170884.471
388	170767.2117
389	170312.2536
390	170122.0282
391	169674.738
392	168853.7274
393	168666.227
394	168225.0685
395	167792.3266
396	167675.3818
397	167560.854
398	167133.893
399	167021.4336
400	166603.8934
401	166417.6007
402	166307.0567
403	166124.227
404	165945.2947
405	165836.7905
406	165730.5334
407	165626.4218
408	164584.5217
409	164407.8628
410	164305.1761
411	163888.3453
412	163714.7205
413	163613.7834
414	163206.1081
415	162171.9825
416	162000.1
417	160980.5585
418	160811.2138
419	160645.5054
420	160238.7475
421	160075.9923
422	159974.831
423	159815.4347
424	159750.4153
425	159594.0538
426	159193.2887
427	159095.1447
428	158079.3416
429	157683.4511
430	157528.4461
431	156525.096
432	156427.3671
433	155438.3474
434	155341.684
435	154946.7438
436	154852.1125
437	154465.0254
438	154310.0373
439	154217.097
440	154126.0267
441	153745.357
442	153655.9946
443	153503.7189
444	152518.0213
445	151547.3507
446	151167.9812
447	151016.7334
448	150927.6571
449	150554.9732
450	150405.9516
451	150040.3173
452	149952.5378
453	149866.278
454	149719.7654
455	149635.5341
456	149491.9606
457	149131.4521
458	149048.6642
459	148907.5625
460	148769.7226
461	148688.5159
462	147714.5341
463	147357.544
464	147221.2755
465	147087.3921
466	146736.4614
467	146391.615
468	146310.7425
469	146231.615
470	146154.122
471	146077.9495
472	145945.9124
473	145607.1476
474	145274.9127
475	145145.1467
476	145018.0428
477	144691.7017
478	144616.6805
479	144543.2015
480	144222.9004
481	144150.7904
482	144080.1917
483	143096.788
484	142127.9361
485	142057.8354
486	141930.7784
487	141610.5884
488	140652.6081
489	140526.8034
490	140209.964
491	140140.3329
492	139186.5625
493	138245.8543
494	138120.8104
495	137998.3308
496	137069.9415
497	136759.0555
498	136689.0309
499	136567.9329
500	136499.4726
501	135581.0193
502	135273.3861
503	134366.5037
504	134245.6374
505	134127.3884
506	134011.46
507	133897.9729
508	133829.4595
509	133524.7299
510	133457.4923
511	132558.0437
512	132257.0475
513	132190.7433
514	132125.8235
515	132013.171
516	131123.3941
517	130825.5471
518	130714.2085
519	130649.9415
520	130586.8738
521	130294.4508
522	130185.039
523	129302.1154
524	129012.9609
525	128141.1267
526	128032.2541
527	127745.2932
528	127638.4085
529	126776.0236
530	126670.6498
531	126607.0837
532	125756.2967
533	124918.1208
534	124630.5564
535	124348.2797
536	123518.6889
537	123238.906
538	123132.6799
539	122859.0481
540	122037.2934
541	121767.0162
542	121724.8795
543	121619.6276
544	121555.5245
545	121452.4568
546	120638.8808
547	119837.3741
548	119567.9886
549	119504.155
550	119401.553
551	119301.0597
552	119202.5651
553	118408.6481
554	118139.5766
555	117355.64
556	117089.9997
557	116830.3233
558	116576.4578
559	116077.3222
560	115978.1343
561	115880.9944
562	115103.9496
563	114338.4191
564	114272.9981
565	113518.4034
566	112774.3811
567	112709.4513
568	111976.7915
569	111912.3617
570	111813.8489
571	111717.3176
572	111511.7886
573	110786.4021
574	110723.0915
575	110008.196
576	109945.3655
577	109689.2671
578	109592.2286
579	109497.8461
580	108790.9059
581	108094.6078
582	108000.9898
583	107938.7556
584	107877.8679
585	107818.2504
586	107562.6093
587	107503.9903
588	107411.8739
589	106720.9758
590	106470.1376
591	106224.199
592	105980.7992
593	105922.6161
594	105237.3432
595	104999.5294
596	104907.2172
597	104229.5299
598	104171.6157
599	103503.7684
600	103446.6525
601	103206.9777
602	102971.9918
603	102743.4447
604	102517.3783
605	101852.9242
606	101198.4769
607	101141.2738
608	101085.2697
609	100990.8117
610	100345.2685
611	100120.6916
612	100065.2613
613	99972.43615
614	99333.80776
615	99279.23047
616	99054.7102
617	99001.10555
618	98369.88218
619	98150.15931
620	97932.54295
621	97297.41382
622	97082.59256
623	96873.6884
624	96255.58025
625	95646.83749
626	95035.87638
627	94940.13602
628	94846.36958
629	94254.71741
630	94199.4877
631	93988.77453
632	93896.08575
633	93679.28109
634	93624.87922
635	93571.56011
636	93366.16694
637	92777.54567
638	92197639	295639	92144640	293640	92111641	292641	92060642	290642	91967643	289643	91765644	289644	91715645	289645	9114646	2878646	910647	28755647	908648	28727648	902649	28698649	901650	28671650	896651	28644651	89652	28581.652	89653	28444.653	8654	28245.8654	8655	28175.8655	8656	28023.9656	8657	27887.7657	8658	27861.4658	8659	27819.1659	8660	27793.4660	8661	27661.1661	662	27471.50662	87046.50114
663	664	27259.24664	665	27173.48665	86683.78249
666	86149.29817
667	85952.43211
668	85902.06634
669	85711.55425
670	85524.82178
671	85444.41914
672	85394.82157
673	84864.06516
674	84784.71779
675	84735.79978
676	84547.95155
677	84022.71811
678	83505.80618
679	82996.84793
680	82495.40623
681	82415.49722
682	82228.91094
683	82047.0965
684	81997.42628
685	81936.51386
686	81749.78923
687	81701.08801
688	81462.58238
689	81414.73353
690	81340.11568
691	81293.22876
692	81247.32132
693	81202.40351
694	81021.95449
695	80455.11586
696	79964.39816
697	79481.59098
698	79296.96567
699	79251.85846
700	79074.358
701	78890.99808
702	78816.84255
703	78772.42043
704	78728.90178
705	78686.31841
706	78205.5131
707	78027.66759
708	77985.59224
709	77511.05929
710	77335.56824
711	77293.92424
712	77253.04229
713	76724.03079
714	76554.90814
715	76391.75357
716	75925.05907
717	75465.80758
718	75423.72961
719	74971.32875
720	74525.95662
721	74002.91363
722	73837.65551
723	73321.49833
724	72814.80755
725	72633.13196
726	72136.19987
727	72094.1392
728	72017.92599
729	71976.77414
730	71901.84276
731	71732.54323
732	71314.28117
733	71153.32405
734	70740.81339
735	70666.18772
736	70624.84064
737	70138.58657
738	70066.49538
739	69665.04664
740	69269.93896
741	68805.70802
742	68733.71673
743	68565.45345
744	68523.87771
745	68453.11672
746	68292.96753
747	68223.50704
748	68155.7533
749	68113.68691
750	68072.51421
751	67908.30979
752	67753.6661
753	67713.98455
754	67246.04735
755	67179.92951
756	67026.62639
757	66641.42982
758	66190.40933
759	66149.78504
760	65980.82128
761	65534.34217
762	65495.12663
763	65130.41367
764	65091.72572
765	64726.01729
766	64660.33469
767	64621.29096
768	64191.16827
769	64153.55479
770	63698.14151
771	63661.0352
772	63237.38284
773	63075.79607
774	63038.85878
775	63002.82357
776	62656.1607
777	62315.04831
778	62251.14292
779	62188.51557
780	62033.04836
781	61880.45858
782	61844.57015
783	61690.95511
784	61538.87494
785	61131.16734
786	61069.37743
787	60923.98983
788	60772.56303
789	60736.76352
790	60676.21801
791	60641.12289
792	60606.7259
793	60463.26313
794	60124.22177
795	60090.35043
796	59764.78391
797	59369.98585
798	59336.34616
799	59302.32359
800	58976.81801
801	58944.41496
802	58912.59205
803	58527.3608
804	58495.97739
805	58109.87518
806	57706.54582
807	57337.52181
808	56969.61885
809	56823.81773
810	56765.84212
811	56734.01989
812	56348.43732
813	56188.63712
814	56157.12135
815	56100.93704
816	56070.00072
817	56039.67301
818	56010.05145
819	55864.77374
820	55722.44269
821	55424.11386
822	55394.76417
823	55339.2002
824	55198.23096
825	54820.06012
826	54791.02539
827	54762.6004
828	54471.79839
829	54443.79
830	54389.65434
831	54103.07585
832	53964.73403
833	53813.69799
834	53760.07172
835	53476.08319
836	53338.11894
837	52977.43297
838	52845.4595
839	52696.30415
840	52667.92451
841	52389.8833
842	52361.87046
843	52308.61472
844	52256.88276
845	51982.68286
846	51712.97489
847	51661.17745
848	51610.94965
849	51582.26553
850	51263.17648
851	51235.29382
852	51089.8156
853	51062.90747
854	50803.32858
855	50468.50653
856	50335.32379
857	50074.54239
858	50047.62161
859	49916.31085
860	49673.35618
861	49646.76684
862	49517.68616
863	49391.79444
864	49138.84519
865	49089.0973
866	48768.29212
867	48741.74362
868	48616.75556
869	48555.17088
870	48507.37696
871	48481.25663
872	48434.95483
873	48297.39656
874	48174.23399
875	47926.15481
876	47682.1339
877	47565.25932
878	47539.07034
879	47513.4324
880	47487.57057
881	47370.29023
882	47129.11652
883	46892.3015
884	46819.56232
885	46586.23277
886	46539.7508
887	46310.12283
888	46079.44619
889	46033.80145
890	45963.20966
891	45895.87485
892	45776.66453
893	45552.18801
894	45324.65883
895	45213.46765
896	44928.15147
897	44819.56638
898	44757.81939
899	44606.52222
900	44487.47741
901	44204.26841
902	43986.19712
903	43884.10919
904	43860.88336
905	43755.45589
906	43628.218
907	43424.37328
908	43208.18119
909	43151.36755
910	42944.3667
911	42740.93807
912	42645.93677
913	42446.58743
914	42250.15783
915	42205.86487
916	42012.46516
917	41900.69315
918	41885.91684
919	41816.11973
920	41625.76435
921	41581.79986
922	41471.64824
923	41415.27455
924	41318.36193
925	41264.68293
926	41213.86137
927	41024.4443
928	40975.48597
929	40784.31186
930	40603.81206
931	40560.9473
932	40379.02884
933	40336.82752
934	40288.84492
935	40204.37705
936	40163.45793
937	39926.65729
938	39905.26113
939	39726.59744
940	39644.17579
941	39544.09043
942	39523.54685
943	39397.52398
944	39319.10093
945	39205.1859
946	39184.84168
947	39164.45053
948	39090.37777
949	38913.0253
950	38866.26292
951	38692.44756
952	38518.74741
953	38498.86901
954	38479.14669
955	38366.4107
956	38347.21001
957	38241.5856
958	38222.77969
959	38204.26941
960	38034.18265
961	37870.44133
962	37833.26447
963	37796.54295
964	37691.79197
965	37584.05739
966	37538.89056
967	37471.39878
968	37419.22763
969	37400.8434
970	37189.30363
971	37171.22793
972	37067.99431
973	37015.05474
974	36806.21302
975	36788.3568
976	36630.08329
977	36589.74704
978	36539.05108
979	36438.19751
980	36420.40182
981	36387.56408
982	36230.47961
983	36169.89884
984	36158.48877
985	36000.6663
986	35803.92292
987	35755.94261
988	35606.62979
989	35588.8707
990	35489.42617
991	35452.22945
992	35353.64474
993	35205.76052
994	35182.29876
995	35165.039
996	35068.9094
997	35051.969
998	34861.85162
999	34837.97202
