iter	Passed	Remaining
181	388	1746
182	390	1743
183	392	1740
184	394	1738
185	396	1737
186	398	1731
187	400	1728
188	402	1726
189	404	1724
190	406	1721
191	408	1720
192	411	1719
193	413	1717
194	415	1714
195	417	1713
196	419	1710
197	422	1709
198	424	1708
199	426	1706
200	428	1704
201	431	1703
202	433	1702
203	436	1703
204	438	1702
205	440	1698
206	442	1696
207	444	1694
208	446	1690
209	448	1688
210	450	1685
211	452	1682
212	454	1679
213	456	1677
214	458	1675
215	461	1673
216	463	1672
217	465	1670
218	467	1668
219	469	1666
220	471	1663
221	473	1660
222	475	1658
223	478	1656
224	480	1653
225	482	1651
226	484	1649
227	486	1648
228	488	1646
229	491	1645
230	493	1642
231	495	1639
232	497	1637
233	499	1634
234	501	1631
235	503	1629
236	505	1626
237	507	1624
238	509	1621
239	511	1618
240	513	1616
241	514	1612
242	516	1607
243	519	1608
244	521	1606
245	523	1603
246	525	1601
247	527	1599
248	529	1597
249	531	1595
250	533	1593
251	536	1591
252	537	1587
253	539	1585
254	541	1583
255	543	1580
256	547	1581
257	549	1579
258	551	1576
259	552	1573
260	554	1571
261	556	1568
262	558	1566
263	560	1563
264	562	1561
265	564	1558
266	567	1556
267	569	1554
268	570	1551
269	572	1548
270	574	1546
271	577	1544
272	578	1541
273	580	1539
274	582	1536
275	585	1534
276	587	1532
277	589	1530
278	591	1528
279	593	1525
280	595	1523
281	597	1520
282	599	1518
283	602	1518
284	604	1516
285	606	1514
286	607	1510
287	610	1508
288	612	1506
289	614	1504
290	616	1502
291	618	1500
292	620	1497
293	622	1495
294	624	1492
295	626	1490
296	629	1489
297	630	1486
298	632	1483
299	634	1480
300	636	1477
301	638	1474
302	639	1472
303	641	1469
304	643	1467
305	645	1464
306	647	1461
307	649	1459
308	651	1457
309	653	1454
310	655	1452
311	658	1451
312	660	1449
313	662	1447
314	664	1445
315	666	1442
316	668	1440
317	670	1438
318	672	1436
319	675	1434
320	677	1433
321	679	1430
322	681	1428
323	683	1425
324	685	1423
325	686	1420
326	688	1417
327	690	1414
328	692	1411
329	693	1408
330	695	1406
331	697	1403
332	699	1401
333	701	1398
334	703	1396
335	705	1393
336	706	1390
337	708	1387
338	710	1384
339	711	1381
340	714	1380
341	716	1378
342	718	1375
343	719	1372
344	721	1370
345	723	1367
346	725	1364
347	726	1361
348	728	1359
349	731	1357
350	733	1355
351	735	1353
352	737	1351
353	739	1349
354	741	1347
355	743	1345
356	745	1343
357	747	1341
358	749	1339
359	752	1336
360	753	1334
361	756	1332
362	758	1330
363	760	1328
364	762	1327
365	764	1325
366	767	1323
367	769	1321
368	771	1319
369	773	1317
370	776	1316
371	778	1314
372	780	1312
373	782	1310
374	784	1308
375	787	1306
376	789	1304
377	791	1302
378	793	1300
379	795	1298
380	797	1296
381	800	1294
382	802	1292
383	804	1290
384	806	1288
385	808	1286
386	811	1284
387	813	1282
388	814	1280
389	817	1278
390	819	1276
391	821	1274
392	823	1272
393	826	1270
394	828	1269
395	830	1267
396	833	1265
397	835	1263
398	837	1261
399	839	1258
400	841	1257
401	843	1254
402	845	1252
403	847	1250
404	849	1248
405	851	1246
406	853	1244
407	856	1242
408	857	1239
409	859	1237
410	861	1235
411	863	1232
412	865	1230
413	867	1227
414	869	1226
415	871	1223
416	873	1221
417	875	1218
418	877	1216
419	879	1214
420	881	1211
421	884	1211
422	886	1209
423	888	1206
424	890	1204
425	891	1201
426	893	1199
427	896	1197
428	898	1195
429	900	1193
430	901	1190
431	903	1188
432	905	1186
433	907	1184
434	909	1181
435	912	1179
436	914	1177
437	916	1175
438	918	1173
439	920	1171
440	922	1169
441	924	1167
442	926	1164
443	928	1162
444	930	1160
445	932	1158
446	934	1156
447	936	1153
448	940	1154
449	943	1152
450	945	1150
451	947	1148
452	949	1147
453	952	1144
454	954	1142
455	956	1140
456	958	1138
457	960	1136
458	962	1134
459	964	1132
460	966	1130
461	968	1128
462	971	1126
463	973	1124
464	975	1122
465	977	1119
466	979	1117
467	981	1115
468	983	1113
469	985	1111
470	987	1109
471	990	1107
472	991	1105
473	993	1102
474	996	1101
475	998	1098
476	1000	1096
477	1002	1094
478	1003	1091
479	1005	1089
480	1007	1087
481	1009	1084
482	1011	1082
483	1013	1080
484	1015	1077
485	1017	1075
486	1018	1073
487	1021	1071
488	1023	1069
489	1025	1067
490	1027	1065
491	1029	1062
492	1031	1060
493	1032	1058
494	1034	1055
495	1036	1053
496	1038	1050
497	1040	1048
498	1042	1046
499	1044	1044
500	1046	1042
501	1048	1040
502	1050	1037
503	1053	1036
504	1055	1034
505	1057	1032
506	1059	1030
507	1061	1027
508	1063	1025
509	1065	1023
510	1067	1021
511	1069	1019
512	1071	1016
513	1073	1014
514	1074	1012
515	1076	1009
516	1078	1007
517	1080	1005
518	1082	1002
519	1083	1000
520	1085	998
521	1087	995
522	1089	993
523	1091	991
524	1093	989
525	1095	987
526	1097	985
527	1099	983
528	1101	981
529	1104	979
530	1106	977
531	1108	975
532	1110	973
533	1112	971
534	1114	969
535	1116	966
536	1118	964
537	1120	962
538	1123	960
539	1125	958
540	1127	956
541	1129	954
542	1131	952
543	1133	950
544	1135	948
545	1137	946
546	1139	944
547	1141	941
548	1143	939
549	1145	937
550	1147	935
551	1149	933
552	1151	930
553	1153	928
554	1155	926
555	1157	924
556	1159	922
557	1161	919
558	1163	917
559	1165	915
560	1167	913
561	1169	911
562	1170	908
563	1172	906
564	1173	903
565	1175	901
566	1177	899
567	1179	897
568	1181	894
569	1183	892
570	1184	890
571	1186	887
572	1188	885
573	1190	883
574	1192	881
575	1194	879
576	1196	877
577	1199	875
578	1201	873
579	1203	871
580	1205	869
581	1206	866
582	1208	864
583	1210	862
584	1212	860
585	1214	857
586	1216	855
587	1218	853
588	1220	851
589	1223	849
590	1225	847
591	1227	845
592	1229	843
593	1231	841
594	1233	839
595	1235	837
596	1237	835
597	1239	833
598	1241	831
599	1243	829
600	1245	826
601	1247	824
602	1249	822
603	1251	820
604	1253	818
605	1255	816
606	1257	814
607	1259	812
608	1261	809
609	1263	807
610	1265	805
611	1267	803
612	1269	801
613	1271	799
614	1273	797
615	1275	795
616	1277	793
617	1279	791
618	1282	789
619	1284	787
620	1285	784
621	1287	782
622	1288	779
623	1289	777
624	1291	774
625	1292	772
626	1294	770
627	1295	767
628	1297	765
629	1298	762
630	1300	760
631	1301	758
632	1303	755
633	1304	753
634	1306	750
635	1307	748
636	1309	746
637	1310	743
638639	1278	7639640	1280	7640641	1282	7641642	1284	7642643	1285	7643644	1288	7644645	1290	7645646	1292	7646647	1294	7647648	1296	7648649	1298	6649650	1300	6650651	1302	6651652	1304	6652653	1306	6653654	1308	6654655	1310	6655656	1312	6656657	1313	6657658	1315	6658659	1317	6659660	1319	6660661	1321	6661662	1323	6662	1360	691
663664	1327	6664665	1329	6665	1366	685
666	1368	683
667	1370	681
668	1372	679
669	1374	676
670	1376	674
671	1378	672
672	1380	670
673	1382	668
674	1384	666
675	1386	664
676	1389	662
677	1391	660
678	1393	658
679	1395	656
680	1396	654
681	1398	652
682	1400	650
683	1402	648
684	1404	645
685	1406	643
686	1409	641
687	1410	639
688	1412	637
689	1414	635
690	1416	633
691	1418	631
692	1420	629
693	1422	627
694	1424	624
695	1426	622
696	1428	620
697	1429	618
698	1431	616
699	1434	614
700	1436	612
701	1438	610
702	1440	608
703	1442	606
704	1444	604
705	1446	602
706	1448	600
707	1450	598
708	1452	595
709	1453	593
710	1455	591
711	1457	589
712	1459	587
713	1461	585
714	1463	583
715	1465	581
716	1467	579
717	1469	577
718	1471	574
719	1473	572
720	1474	570
721	1476	568
722	1478	566
723	1480	564
724	1482	562
725	1484	560
726	1486	558
727	1488	556
728	1490	554
729	1492	552
730	1495	550
731	1497	548
732	1499	546
733	1501	543
734	1502	541
735	1504	539
736	1506	537
737	1508	535
738	1510	533
739	1512	531
740	1514	529
741	1516	527
742	1518	525
743	1519	523
744	1522	520
745	1523	518
746	1525	516
747	1527	514
748	1529	512
749	1531	510
750	1533	508
751	1535	506
752	1537	504
753	1539	502
754	1541	500
755	1543	498
756	1545	495
757	1546	493
758	1549	491
759	1551	489
760	1553	487
761	1554	485
762	1556	483
763	1558	481
764	1560	479
765	1562	477
766	1563	475
767	1565	472
768	1567	470
769	1569	468
770	1571	466
771	1572	464
772	1574	462
773	1576	460
774	1579	458
775	1580	456
776	1582	454
777	1584	452
778	1586	450
779	1588	447
780	1590	445
781	1592	443
782	1593	441
783	1595	439
784	1597	437
785	1599	435
786	1601	433
787	1602	431
788	1604	429
789	1607	427
790	1609	425
791	1610	423
792	1612	420
793	1614	418
794	1616	416
795	1618	414
796	1620	412
797	1622	410
798	1624	408
799	1626	406
800	1627	404
801	1629	402
802	1631	400
803	1633	398
804	1635	396
805	1637	394
806	1639	392
807	1641	390
808	1643	387
809	1644	385
810	1646	383
811	1648	381
812	1650	379
813	1652	377
814	1653	375
815	1655	373
816	1657	371
817	1659	369
818	1660	367
819	1662	365
820	1665	363
821	1667	361
822	1669	359
823	1671	356
824	1673	354
825	1675	352
826	1676	350
827	1678	348
828	1680	346
829	1682	344
830	1684	342
831	1686	340
832	1688	338
833	1690	336
834	1691	334
835	1693	332
836	1695	330
837	1697	328
838	1699	326
839	1701	324
840	1703	322
841	1705	320
842	1707	317
843	1709	315
844	1711	313
845	1713	311
846	1715	309
847	1716	307
848	1718	305
849	1721	303
850	1723	301
851	1725	299
852	1727	297
853	1729	295
854	1731	293
855	1733	291
856	1735	289
857	1736	287
858	1738	285
859	1740	283
860	1742	281
861	1744	279
862	1746	277
863	1748	275
864	1750	273
865	1752	271
866	1754	269
867	1756	267
868	1758	265
869	1760	263
870	1762	260
871	1763	258
872	1765	256
873	1767	254
874	1769	252
875	1771	250
876	1773	248
877	1775	246
878	1777	244
879	1779	242
880	1781	240
881	1783	238
882	1785	236
883	1786	234
884	1788	232
885	1790	230
886	1792	228
887	1794	226
888	1796	224
889	1797	222
890	1799	220
891	1801	218
892	1803	216
893	1805	214
894	1807	212
895	1808	209
896	1810	207
897	1812	205
898	1814	203
899	1816	201
900	1818	199
901	1820	197
902	1822	195
903	1824	193
904	1826	191
905	1828	189
906	1830	187
907	1832	185
908	1834	183
909	1837	181
910	1838	179
911	1840	177
912	1842	175
913	1844	173
914	1845	171
915	1847	169
916	1849	167
917	1851	165
918	1852	163
919	1854	161
920	1856	159
921	1858	157
922	1860	155
923	1861	153
924	1863	151
925	1865	149
926	1867	147
927	1869	145
928	1871	143
929	1873	141
930	1875	138
931	1876	136
932	1878	134
933	1880	132
934	1882	130
935	1884	128
936	1886	126
937	1888	124
938	1890	122
939	1892	120
940	1894	118
941	1896	116
942	1898	114
943	1900	112
944	1902	110
945	1904	108
946	1906	106
947	1907	104
948	1909	102
949	1911	100
950	1913	98
951	1915	96
952	1917	94
953	1919	92
954	1921	90
955	1923	88
956	1925	86
957	1927	84
958	1929	82
959	1931	80
960	1932	78
961	1934	76
962	1936	74
963	1938	72
964	1940	70
965	1942	68
966	1944	66
967	1945	64
968	1947	62
969	1950	60
970	1952	58
971	1954	56
972	1956	54
973	1958	52
974	1960	50
975	1962	48
976	1964	46
977	1966	44
978	1968	42
979	1970	40
980	1972	38
981	1974	36
982	1976	34
983	1978	32
984	1980	30
985	1982	28
986	1983	26
987	1985	24
988	1987	22
989	1989	20
990	1990	18
991	1992	16
992	1994	14
993	1995	12
994	1997	10
995	1998	8
996	2000	6
997	2001	4
998	2003	2
999	2005	0
